No.,Title ID,BPM,BPM 01,BPM 02,BPM 03,BPM 04,BPM 05,BPM 06,BPM 07,BPM 08,BPM 09,BPM 10
77,f33051f9-f8c6-4931-b6ab-235dafc57838,,,,,,,,,,,
78,698245e3-c85b-47db-8c94-e0e346aa8538,,,,,,,,,,,
79,269598a6-09af-4856-b426-1ab14715a1a3,,,,,,,,,,,
80,c80850af-61a7-4ca6-8513-8e185fb161bc,,,,,,,,,,,
81,09adafec-f8d9-44e4-98a2-cddb0a3c2c07,,,,,,,,,,,
82,dc4f5343-58b3-4d74-b8cb-478bc113fc6b,,,,,,,,,,,
83,4574bd59-cd29-4cc9-a83e-3919a6cd7232,115,115,,,,,,,,,
84,f368e9c3-789c-4302-b75e-291125513e21,,,,,,,,,,,
85,3fbdddbf-3695-4e83-b39a-5839936b3a25,,,,,,,,,,,
86,5f65e2e7-5a0b-4ece-bc13-cc9316be2518,,,,,,,,,,,
87,bcb79239-c75e-4306-9dd3-c446351931ea,,,,,,,,,,,
88,e52d4a14-0e3c-4fc5-8fa0-42c10f86dce6,,,,,,,,,,,
89,4f345e07-8284-48ed-85ce-67d134f61e61,,,,,,,,,,,
90,f1f8b47b-4fd9-4e28-a105-dd6bd749779b,,,,,,,,,,,
91,f8bfd55d-29f1-4347-ac61-d69eaaf34cb6,,,,,,,,,,,
92,710a98d2-1c56-4a55-989a-5f34938a2d3a,,,,,,,,,,,
93,5342de53-5c03-43fa-bd91-232a34a03918,,,,,,,,,,,
94,477f93a0-c739-4256-a251-3c2bb5fcccf7,,,,,,,,,,,
95,fc88df79-82ed-4e31-a4fd-88dc11b22c2a,,,,,,,,,,,
96,e474a502-c1b5-48b8-af2f-5ca5251d4572,188,188,,,,,,,,,
97,323a8826-0ea8-49f3-8b8c-0eea58ae52da,,,,,,,,,,,
98,ff4c7488-4cba-4725-bbca-7f92571c69fb,163,163,,,,,,,,,
99,45e6915c-c420-4e20-b292-9a4204c0af1c,,,,,,,,,,,
100,abd5107c-43b2-41fa-9ebc-80393cb0ddb0,73,73,,,,,,,,,
101,f2435c46-dfdf-4696-a63a-4343eff17528,130,130,,,,,,,,,
102,61c1d556-5fb9-40fd-9e78-a9c9adf9d229,,,,,,,,,,,
103,fb56e763-2437-4a12-8877-25afd7dfe2dd,,,,,,,,,,,
104,1f922ef3-f976-4131-876a-2a9acf83b659,,,,,,,,,,,
105,0b9eee8c-a0a3-4d90-9177-a8dd33c1023b,148,148,,,,,,,,,
106,cc7b3f34-6574-4716-b21e-903280247f79,,,,,,,,,,,
107,18a67d46-9452-465a-ab51-b1b53414b7ef,,,,,,,,,,,
108,0d07aa49-d49c-49a3-8b98-0a818825cbe3,,,,,,,,,,,
109,cbe96f03-9eb7-48c8-8236-b6624ce6fea0,,,,,,,,,,,
110,35d3ab30-e4a8-4bdd-8647-9c3c9c0e600e,,,,,,,,,,,
111,17539aef-6f5a-48c5-b39f-aabc484e5a4c,,,,,,,,,,,
112,34d06c95-f7f2-45c4-97eb-948798110167,,,,,,,,,,,
113,7e40108c-914b-4104-9d78-f71e95f700e2,,,,,,,,,,,
114,1095ad46-7e1b-4ec7-a424-a060e543aae8,124,,,,,,,,,,
115,601f0b20-5aea-4a69-bd39-54dc6cf9b60f,,,,,,,,,,,
116,9be47117-430a-427e-9b5a-96348f5c9459,,,,,,,,,,,
117,92ced388-22c9-4fbb-9dc1-c3ffcaad0305,185,185,,,,,,,,,
118,db259272-07c7-48be-91d0-b1d7e9630b9c,,,,,,,,,,,
119,d4679de5-cbec-4e4f-8fd1-a60e8db59a65,,,,,,,,,,,
120,0da74af8-469d-4f1c-a274-ccfc6a2dc16c,,,,,,,,,,,
121,0b7cbc58-2a2a-4308-a493-05c398771601,,,,,,,,,,,
